eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unRxVehicleHeading,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23120008,2024110712425444725,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425444744,2022042904363183013,2024110712425444725,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,11,11,60,0,0x811841f7,2024110712425445179,2022042904311298387,2024110712425445643,435,-51884626,918,-836521982,23120002,0,8704,204,1,1,40,1,0,107,1,-67,34,0,4294.967295,36.730100,127.439864,106.069584,0,11,0,100.000,0.000
1,31,23120008,2024110712425449736,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425449765,2022042904363188027,2024110712425449736,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,12,12,0,0,0xbb5d2d05,2024110712425450073,2022042904311303279,2024110712425450687,308,-51884748,951,-836521982,23120002,0,8704,204,1,1,40,1,0,108,1,-66,35,0,4294.967295,36.730100,127.439864,106.069872,0,12,0,100.000,0.000
1,31,23120008,2024110712425454748,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425454794,2022042904363193038,2024110712425454748,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,13,13,0,0,0x803636f6,2024110712425455378,2022042904311308585,2024110712425456733,584,-51884453,1985,-836521982,23120002,0,8704,204,1,1,40,1,0,108,1,-66,35,0,4294.967295,36.730100,127.439864,106.069992,0,13,0,100.000,0.000
1,31,23120008,2024110712425459759,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425459803,2022042904363198046,2024110712425459759,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,14,14,0,0,0xdbc9e308,2024110712425460285,2022042904311313491,2024110712425460767,482,-51884555,1008,-836521982,23120002,0,8704,204,1,1,40,1,0,109,1,-65,36,0,4294.967295,36.730100,127.439864,106.070096,0,14,0,100.000,0.000
1,31,23120008,2024110712425464770,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425464818,2022042904363203061,2024110712425464770,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,15,15,0,0,0xa714a46a,2024110712425465278,2022042904311318484,2024110712425465810,460,-51884577,1040,-836521982,23120002,0,8704,204,1,1,40,1,0,109,1,-68,33,0,4294.967295,36.730100,127.439864,106.069984,0,15,0,100.000,0.000
1,31,23120008,2024110712425469781,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425469822,2022042904363208068,2024110712425469781,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,16,16,0,0,0x72505707,2024110712425470183,2022042904311323388,2024110712425470853,361,-51884680,1072,-836521982,23120002,0,8704,204,1,1,40,1,0,109,1,-69,32,0,4294.967295,36.730100,127.439856,106.069832,0,16,0,100.000,0.000
1,31,23120008,2024110712425474793,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425474826,2022042904363213085,2024110712425474793,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,17,17,0,0,0xee2d2df4,2024110712425475676,2022042904311328885,2024110712425476899,850,-51884200,2106,-836521982,23120002,0,8704,204,1,1,40,1,0,110,1,-67,34,0,4294.967295,36.730100,127.439856,106.069984,0,17,0,100.000,0.000
1,31,23120008,2024110712425479804,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425479840,2022042904363218092,2024110712425479804,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,18,18,0,0,0x6188e771,2024110712425480986,2022042904311334217,2024110712425481942,1146,-51883875,2138,-836521982,23120002,0,8704,204,1,1,40,1,0,110,1,-68,33,0,4294.967295,36.730100,127.439856,106.070072,0,18,0,100.000,0.000
1,31,23120008,2024110712425484818,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425484853,2022042904363223112,2024110712425484818,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,19,19,0,0,0x4bb76d97,2024110712425485191,2022042904311338399,2024110712425485980,338,-51884713,1162,-836521982,23120002,0,8704,204,1,1,40,1,0,110,1,-68,33,0,4294.967295,36.730100,127.439856,106.069960,0,19,0,100.000,0.000
1,31,23120008,2024110712425489830,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425489876,2022042904363228120,2024110712425489830,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,20,20,0,0,0x505537e3,2024110712425490782,2022042904311343990,2024110712425492030,906,-51884130,2200,-836521982,23120002,0,8704,204,1,1,40,1,0,110,1,-71,30,0,4294.967295,36.730100,127.439856,106.069888,0,20,0,100.000,0.000
